staffpin,confirmation_date
00010828,1997-01-01
00010848,1996-09-01
00010851,1997-01-01
00010870,1997-01-01
00010879,1997-01-01
00010893,1997-01-01
00010910,1997-01-01
00010918,1997-01-01
00010923,1997-03-01
00010926,1997-03-01
00010937,1997-01-01
00010950,1997-05-01
00010968,1997-01-01
00011011,1997-01-01
00011028,1997-01-01
00011034,1997-01-01
00011044,1997-06-01
00011048,1997-06-01
00011060,1997-06-01
00011082,1997-06-01
00011144,1997-06-01
00011197,1998-01-01
00011220,1998-01-01
00011226,1998-07-01
00011236,1998-07-01
00011277,1997-06-01
00011288,1997-07-01
00011294,1997-08-01
00011295,1997-08-01
00011323,1997-10-01
00011326,2000-08-01
00011328,1997-10-01
00011340,1997-12-01
00011344,1997-07-01
00011354,1997-12-01
00011370,1995-01-01
00011399,1997-06-01
00011406,1997-06-01
00011426,1997-06-01
00011454,1997-06-01
00011539,1997-08-01
00011559,1997-08-01
00011576,1997-08-01
00011585,1997-08-01
00011598,1997-09-01
00011602,1997-09-01
00011604,1997-09-01
00011652,1997-08-01
00011657,1997-09-01
00011658,1997-09-01
00011676,1997-09-01
00011965,1997-09-01
00012021,1997-12-01
00012049,1998-01-01
00012052,1998-01-01
00012092,1998-01-01
00012098,1998-01-01
00012132,1998-03-01
00012163,1998-03-01
00012175,1998-03-01
00012179,1998-03-01
00012189,1998-03-01
00012206,1997-12-01
00012212,1998-03-01
00012213,1998-03-01
00012215,1998-03-01
00012218,1998-03-01
00012226,1998-03-01
00012230,1998-03-01
00012233,1998-03-01
00012235,1998-03-01
00012236,1998-03-01
00012243,1998-04-01
00012250,1998-03-01
00012267,1998-03-01
00012269,1998-03-01
00012270,1998-03-01
00012275,1998-04-01
00012298,1998-03-01
00012299,1998-03-01
00012308,1998-04-01
00012312,1998-04-01
00012316,1998-04-01
00012321,1998-03-01
00012324,1998-03-01
00012359,1998-04-01
00012368,1998-03-01
00012371,1998-03-01
00012373,1998-04-01
00012374,1998-04-01
00012376,1998-03-01
00012388,1998-03-01
00012405,1998-03-01
00012437,1998-06-01
00012480,1998-03-01
00012481,1998-06-01
00012495,1998-06-01
00012501,1998-04-01
00012504,1998-09-01
00012508,1999-02-01
00012509,1999-02-01
00012512,1999-02-01
00012516,1999-02-01
00012517,1999-02-01
00012520,1999-02-01
00012524,1999-02-01
00012527,1999-02-01
00012534,1999-02-01
00012556,1998-10-01
00012562,1998-04-01
00012564,1998-04-01
00012568,1998-07-01
00012577,1998-06-01
00012600,1998-09-01
00012601,1998-09-01
00012619,2000-01-01
00012620,1998-10-01
00012624,1998-09-01
00012632,1998-10-01
00012638,1998-10-01
00012644,1998-10-01
00012676,1998-12-01
00012702,1998-07-01
00012735,1998-07-01
00012736,1998-07-01
00012770,1998-08-01
00012794,1998-10-01
00012820,1998-11-01
00012885,1998-10-01
00012968,1998-10-01
00012981,1998-10-01
00013010,1998-08-01
00013014,1998-08-01
00013021,1998-08-01
00013036,1998-08-01
00013057,1998-08-01
00013059,1998-08-01
00013086,1998-08-01
00013113,1998-08-01
00013133,1998-09-01
00013135,1998-09-01
00013139,1998-10-01
00013141,1998-09-01
00013148,1998-09-01
00013176,1998-09-01
00013186,1998-09-01
00013195,1998-09-01
00013199,1998-09-01
00013205,1998-09-01
00013217,1998-09-01
00013220,1998-10-01
00013255,1998-09-01
00013273,1998-09-01
00013287,1998-09-01
00013293,1998-09-01
00013301,1998-10-01
00013308,1998-10-01
00013311,1998-09-01
00013331,1998-10-01
00013358,1998-10-01
00013363,1998-10-01
00013376,1998-10-01
00013387,1998-09-01
00013422,1998-03-01
00013437,1998-10-01
00013502,1998-11-01
00013599,1998-12-01
00013640,1998-12-01
00013678,1998-12-01
00013685,1999-01-01
00013698,1999-01-01
00013724,1999-01-01
00013735,1999-01-01
00013745,1999-01-01
00013759,1999-02-01
00013775,1999-03-01
00013785,1999-03-01
00013796,1999-03-01
00013797,1999-03-01
00013859,1999-01-01
00013868,1999-01-01
00013928,1999-10-01
00013929,1999-10-01
00013946,1999-10-01
00013962,1999-10-01
00013964,1999-10-01
00013973,1999-10-01
00013974,1999-10-01
00013978,1999-10-01
00013979,1999-10-01
00014021,1999-10-01
00014044,1999-07-01
00014047,1999-07-01
00014062,1999-07-01
00014074,1999-07-01
00014076,1999-07-01
00014081,1999-07-01
00014089,1999-07-01
00014090,1999-07-01
00014096,1999-07-01
00014112,1999-07-01
00014157,1999-07-01
00014158,1999-07-01
00014159,1999-07-01
00014166,1999-07-01
00014187,1999-07-01
00014208,1999-07-01
00014220,1999-07-01
00014221,1999-07-01
00014222,1999-07-01
00014225,1999-07-01
00014243,1999-07-01
00014250,1999-07-01
00014253,1999-07-01
00014258,1999-07-01
00014273,1998-07-01
00014293,1999-07-01
00014300,1999-07-01
00014307,1999-07-01
00014315,1999-07-01
00014319,1999-07-01
00014339,1999-07-01
00014342,1999-07-01
00014345,1999-07-01
00014351,1998-07-01
00014374,1999-07-01
00014384,1999-07-01
00014388,1999-07-01
00014395,1999-07-01
00014399,1998-07-01
00014415,2000-01-01
00014431,1999-01-01
00014433,1999-01-01
00014437,1999-01-01
00014443,1999-01-01
00014448,1999-01-01
00014475,1999-02-01
00014480,1999-04-01
00014485,1999-05-01
00014488,1999-04-01
00014495,1999-05-01
00014498,1999-05-01
00014509,1999-05-01
00014510,1999-05-01
00014578,1999-05-01
00014581,1999-06-01
00014586,1999-07-01
00014598,2000-01-01
00014603,2003-03-01
00014606,2001-04-01
00014620,2001-08-01
00014625,2000-03-01
00014634,2001-10-01
00014649,2003-04-01
00014654,2003-04-01
00014661,2003-04-01
00014685,2003-04-01
00014698,2003-04-01
00014706,2003-04-01
00014707,2003-04-01
00014710,2003-04-01
00014715,2003-04-01
00014739,2003-04-01
00014740,2003-04-01
00014763,2003-04-01
00014765,2003-04-01
00014779,2003-04-01
00014788,2003-04-01
00014793,2003-04-01
00014808,2003-04-01
00014810,2003-04-01
00014821,2003-04-01
00014822,2003-04-01
00014829,2003-04-01
00014847,2003-04-01
00014864,2003-04-01
00014867,1999-03-01
00014903,1999-03-01
00014936,1999-04-01
00014944,1999-04-01
00014953,1999-04-01
00014971,1999-04-01
00014992,1999-06-01
00015043,1999-06-01
00015055,1999-06-01
00015085,1999-08-01
00015127,1999-09-01
00015158,1999-09-01
00015169,1999-09-01
00015193,1999-10-01
00015281,1999-10-01
00015284,1999-10-01
00015319,1999-10-01
00015320,1999-10-01
00015337,1999-10-01
00015339,1999-10-01
00015360,1999-10-01
00015363,1999-10-01
00015370,1999-10-01
00015423,1999-10-01
00015434,1999-10-01
00015448,1999-10-01
00015452,1999-10-01
00015453,1999-10-01
00015478,1999-10-01
00015487,1999-10-01
00015492,1999-10-01
00015553,1999-10-01
00015554,1999-10-01
00015562,1999-10-01
00015737,1999-08-01
00015741,1999-09-01
00015742,1999-09-01
00015744,1999-08-01
00015747,2000-05-01
00015772,1999-12-01
00015773,1999-12-01
00015804,2000-02-01
00015806,2000-02-01
00015815,2000-02-01
00015818,2000-02-01
00015819,2000-02-01
00015826,2000-02-01
00015832,2000-02-01
00015843,2000-04-01
00015844,2000-04-01
00015863,2000-06-01
00015865,2000-05-01
00015872,1999-04-01
00016001,1999-07-01
00016003,1999-07-01
00016020,1999-07-01
00016039,1999-07-01
00016050,1999-07-01
00016069,1999-07-01
00016080,1999-07-01
00016096,1999-07-01
00016114,1999-07-01
00016123,1999-07-01
00016139,1999-07-01
00016150,1999-07-01
00016165,1999-07-01
00016182,1999-07-01
00016183,1999-07-01
00016185,1999-07-01
00016187,1999-07-01
00016208,1999-07-01
00016218,1999-07-01
00016224,1999-07-01
00016227,1999-07-01
00016236,1999-07-01
00016243,1999-07-01
00016248,1999-07-01
00016250,1999-07-01
00016267,1999-07-01
00016283,1999-07-01
00016302,1999-07-01
00016308,1999-07-01
00016357,1999-07-01
00016359,1999-07-01
00016372,1999-07-01
00016384,1999-07-01
00016393,1999-07-01
00016403,1999-07-01
00016425,1999-07-01
00016434,1999-07-01
00016435,1999-07-01
00016438,1999-07-01
00016440,1999-07-01
00016445,1999-07-01
00016450,1999-07-01
00016467,1999-07-01
00016488,1999-07-01
00016514,1999-07-01
00016519,1999-07-01
00016530,1999-07-01
00016555,1999-07-01
00016570,1999-07-01
00016609,1999-07-01
00016622,1999-07-01
00016648,1999-07-01
00016670,1999-07-01
00016702,1999-07-01
00016703,1999-07-01
00016734,1999-07-01
00016752,1999-07-01
00016755,1999-07-01
00016774,1999-07-01
00016780,1999-07-01
00016795,1999-07-01
00016796,1999-07-01
00016801,1999-07-01
00016802,1998-07-01
00016812,1999-07-01
00016814,1999-07-01
00016816,1999-07-01
00016823,1999-07-01
00016824,1999-07-01
00016825,1999-07-01
00016828,1999-07-01
00016849,1999-07-01
00016866,1999-07-01
00016867,1999-07-01
00016875,1999-07-01
00016883,1999-07-01
00016887,1999-07-01
00016890,1999-07-01
00016892,1999-07-01
00016895,1999-07-01
00016937,1999-07-01
00016941,1999-07-01
00016944,1999-07-01
00016952,1999-07-01
